created_at,entry_id,gas_value,gas _2value
2024-03-11T13:10:46+00:00,1,78,"1

"
2024-03-11T13:11:03+00:00,2,58,"0

"
2024-03-11T13:11:19+00:00,3,70,"1

"
2024-03-11T13:11:36+00:00,4,67,"1

"
2024-03-11T13:11:52+00:00,5,62,"1

"
2024-03-11T13:12:09+00:00,6,57,"0

"
2024-03-11T13:12:26+00:00,7,62,"1

"
2024-03-11T13:12:42+00:00,8,54,"1

"
2024-03-11T13:12:59+00:00,9,222,"1

"
2024-03-11T13:13:16+00:00,10,87,"1

"
2024-03-11T13:13:33+00:00,11,68,"1

"
2024-03-11T13:13:49+00:00,12,62,"1

"
2024-03-11T13:14:06+00:00,13,59,"1

"
2024-03-11T13:14:23+00:00,14,156,"0

"
2024-03-11T13:14:40+00:00,15,84,"1

"
2024-03-11T13:15:02+00:00,16,85,"1

"
2024-03-11T13:15:19+00:00,17,154,"1

"
2024-03-11T13:15:36+00:00,18,232,"1

"
2024-03-11T13:15:53+00:00,19,80,"1

"
2024-03-11T13:16:10+00:00,20,68,"1

"
2024-03-11T13:16:27+00:00,21,63,"1

"
2024-03-11T13:16:43+00:00,22,60,"1

"
2024-03-11T13:17:00+00:00,23,59,"0

"
2024-03-11T13:17:18+00:00,24,57,"1

"
2024-03-11T13:17:35+00:00,25,56,"1

"
2024-03-11T13:19:06+00:00,26,56,"1

"
2024-03-11T13:19:24+00:00,27,56,"1

"
2024-03-11T13:19:43+00:00,28,55,"1

"
2024-03-11T13:20:41+00:00,29,54,"1

"
2024-03-11T13:20:57+00:00,30,54,"1

"
2024-03-11T13:21:16+00:00,31,54,"1

"
2024-03-11T13:21:34+00:00,32,54,"1

"
2024-03-11T13:21:51+00:00,33,54,"1

"
2024-03-11T13:22:08+00:00,34,53,"1

"
2024-03-11T13:22:24+00:00,35,53,"1

"
2024-03-11T13:42:53+00:00,36,53,"0

"
2024-03-11T13:43:10+00:00,37,53,"1

"
2024-03-11T13:43:27+00:00,38,53,"0

"
2024-03-11T13:43:44+00:00,39,52,"1

"
2024-03-11T13:44:01+00:00,40,52,"1

"
2024-03-11T13:44:18+00:00,41,52,"1

"
2024-03-11T13:44:35+00:00,42,52,"1

"
2024-03-11T13:44:52+00:00,43,52,"1

"
2024-03-11T13:45:09+00:00,44,52,"1

"
2024-03-11T13:45:25+00:00,45,52,"1

"
2024-03-11T13:45:42+00:00,46,52,"0

"
2024-03-11T13:45:59+00:00,47,53,"1

"
2024-03-11T13:46:16+00:00,48,52,"1

"
2024-03-11T13:46:32+00:00,49,53,"1

"
2024-03-11T13:46:49+00:00,50,52,"1

"
2024-03-11T13:47:06+00:00,51,52,"1

"
2024-03-11T13:47:24+00:00,52,53,"1

"
2024-03-11T13:47:40+00:00,53,53,"1

"
2024-03-11T13:48:03+00:00,54,52,"1

"
2024-03-11T13:48:21+00:00,55,150,"1

"
2024-03-11T13:48:39+00:00,56,71,"1

"
2024-03-11T13:48:55+00:00,57,62,"1

"
2024-03-11T13:49:13+00:00,58,58,"1

"
2024-03-11T13:49:29+00:00,59,55,"1

"
2024-03-11T13:49:46+00:00,60,54,"1

"
2024-03-11T13:49:46+00:00,61,42,0
2024-03-11T13:49:46+00:00,62,45,1
2024-03-11T13:50:46+00:00,63,45,0
2024-03-11T13:51:46+00:00,64,42,1
2024-03-11T13:51:46+00:00,65,43,0
2024-03-11T13:51:46+00:00,66,43,1
2024-03-11T13:51:46+00:00,67,53,0
2024-03-11T13:52:46+00:00,68,35,1
2024-03-11T13:52:46+00:00,69,34,1
2024-03-11T13:52:46+00:00,70,33,0
